#{"t_start": 1737965427.0361888, "env_id": "None"}
r,l,t
4.0,13,5.51236
8.0,10,5.517425
2.0,16,5.525181
7.0,10,5.530087
6.0,11,5.535457
6.0,10,5.540391
8.0,10,5.545365
6.0,11,5.550742
7.0,10,5.555669
7.0,10,5.560561
5.0,11,5.565897
3.0,15,5.573164
6.0,10,5.57804
7.0,10,5.583022
1.0,15,5.590248
6.0,11,5.595589
3.0,16,5.603259
3.0,14,5.610325
4.0,11,5.61575
4.0,12,5.621696
5.0,10,5.626721
6.0,13,5.633096
6.0,11,5.638459
8.0,10,5.643351
5.0,12,6.154594
8.0,10,6.160074
8.0,10,6.165177
7.0,11,6.170693
3.0,12,6.177129
10.0,10,6.182278
6.0,10,6.187367
6.0,11,6.192823
6.0,11,6.198275
2.0,15,6.205458
8.0,10,6.210333
3.0,13,6.216689
3.0,12,6.222571
4.0,13,6.228947
6.0,12,6.234834
3.0,14,6.241718
5.0,13,6.24797
3.0,13,6.25439
7.0,10,6.25937
4.0,12,6.265486
5.0,11,6.270868
6.0,11,6.276341
2.0,14,6.283154
6.0,11,6.288529
6.0,12,6.294443
7.0,10,6.299331
5.0,13,6.30564
6.0,11,6.311048
7.0,11,6.316416
5.0,11,6.321755
-2.0,19,6.330959
5.0,13,6.337293
6.0,10,6.342228
7.0,11,6.347577
5.0,12,6.353345
7.0,11,6.358693
4.0,12,6.364547
5.0,12,6.370344
7.0,10,6.375229
8.0,10,6.380134
7.0,10,6.384994
7.0,10,6.38997
7.0,11,6.395532
3.0,13,6.401792
3.0,14,6.891216
7.0,11,6.896931
3.0,12,6.902926
7.0,11,6.908454
9.0,10,6.913517
5.0,12,6.919521
2.0,14,6.926355
4.0,12,6.932182
8.0,10,6.937373
1.0,14,6.944209
8.0,11,6.949861
7.0,10,6.954897
6.0,10,6.959916
6.0,10,6.964865
6.0,10,6.969785
2.0,15,6.977003
7.0,10,6.981961
7.0,10,6.986821
4.0,13,6.993179
3.0,14,6.999979
2.0,14,7.006728
6.0,11,7.012384
6.0,11,7.017747
7.0,10,7.022635
6.0,11,7.028013
8.0,10,7.032849
6.0,11,7.038282
7.0,11,7.043658
8.0,10,7.048566
6.0,11,7.053951
6.0,12,7.05979
6.0,11,7.065243
8.0,10,7.070152
4.0,12,7.075978
6.0,11,7.081573
7.0,10,7.086574
0.0,16,7.094388
8.0,10,7.099246
4.0,11,7.104628
8.0,10,7.109557
5.0,12,7.115407
2.0,16,7.123198
4.0,12,7.128949
7.0,10,7.133828
6.0,10,7.138794
4.0,15,7.622912
5.0,10,7.628068
7.0,11,7.633601
7.0,10,7.638602
6.0,11,7.644107
3.0,13,7.650579
8.0,10,7.655536
5.0,11,7.660903
6.0,12,7.666919
7.0,10,7.671975
7.0,11,7.677806
-2.0,18,7.686653
4.0,12,7.692801
7.0,10,7.697944
7.0,10,7.703116
4.0,14,7.710042
1.0,16,7.717873
6.0,12,7.723696
3.0,14,7.7305
7.0,10,7.735492
8.0,10,7.740414
7.0,11,7.745829
6.0,12,7.75188
6.0,11,7.757232
7.0,10,7.76229
3.0,14,7.76914
5.0,12,7.775088
5.0,14,7.781922
4.0,14,7.788606
6.0,12,7.794469
6.0,11,7.799768
4.0,14,7.806575
8.0,10,7.811543
8.0,10,7.816411
4.0,13,7.822719
4.0,12,7.828549
8.0,10,7.833525
3.0,13,7.83979
7.0,11,7.84523
6.0,10,7.850144
6.0,11,7.855508
4.0,13,7.861807
6.0,12,7.867591
3.0,14,8.354747
6.0,11,8.360316
6.0,12,8.366383
6.0,10,8.371469
5.0,11,8.376965
6.0,11,8.382377
5.0,13,8.388761
5.0,13,8.395159
4.0,12,8.400988
7.0,10,8.405887
9.0,10,8.410796
6.0,10,8.415762
4.0,12,8.421599
7.0,10,8.42652
6.0,11,8.431884
5.0,13,8.438847
6.0,10,8.443995
5.0,10,8.448997
7.0,10,8.453877
7.0,11,8.459378
6.0,13,8.465756
5.0,11,8.471149
7.0,10,8.476055
5.0,12,8.481899
5.0,12,8.48774
6.0,12,8.493579
7.0,10,8.498572
7.0,11,8.503976
6.0,12,8.509828
6.0,11,8.515181
5.0,12,8.521033
7.0,10,8.52593
2.0,14,8.532722
9.0,11,8.538052
7.0,11,8.543454
4.0,10,8.548369
4.0,15,8.555653
8.0,10,8.560569
10.0,10,8.56548
4.0,12,8.571358
6.0,11,8.576724
9.0,10,8.581646
8.0,10,8.58666
5.0,10,8.591581
7.0,11,8.59697
5.0,11,8.602503
8.0,10,9.087329
6.0,12,9.093627
8.0,10,9.098644
6.0,10,9.103739
-1.0,17,9.112134
5.0,12,9.118057
3.0,12,9.124364
7.0,12,9.130348
6.0,12,9.136243
5.0,11,9.141738
5.0,12,9.147661
6.0,11,9.153019
4.0,11,9.15842
6.0,10,9.16333
5.0,13,9.169716
8.0,10,9.17466
7.0,10,9.179956
5.0,12,9.185934
6.0,12,9.191846
3.0,14,9.198772
-2.0,18,9.207617
3.0,14,9.214385
9.0,10,9.219357
7.0,10,9.224318
6.0,12,9.230103
10.0,10,9.235248
1.0,17,9.24363
6.0,11,9.249015
6.0,11,9.254395
4.0,13,9.260812
6.0,11,9.266285
5.0,11,9.271785
5.0,12,9.277607
8.0,10,9.282571
7.0,10,9.28755
4.0,13,9.294004
4.0,13,9.300476
6.0,12,9.30634
7.0,10,9.31158
7.0,11,9.317385
2.0,14,9.324467
8.0,10,9.329452
5.0,13,9.335933
5.0,12,9.835024
5.0,11,9.840947
5.0,11,9.846621
4.0,12,9.852572
6.0,11,9.858095
5.0,12,9.864078
7.0,10,9.869232
6.0,10,9.874778
6.0,10,9.879832
3.0,14,9.886794
2.0,15,9.894186
7.0,10,9.899187
7.0,10,9.904168
7.0,10,9.909202
3.0,14,9.915939
4.0,12,9.921938
8.0,10,9.92686
5.0,13,9.933225
7.0,10,9.938397
7.0,10,9.943401
