#{"t_start": 1737988432.2088268, "env_id": "None"}
r,l,t
-13.0,31,0.696609
-7.0,31,0.700215
-7.0,31,0.703378
-8.0,31,0.706664
-10.0,31,0.709788
-9.0,31,0.712854
-8.0,31,0.716566
-10.0,31,0.719823
-9.0,31,0.723295
-8.0,31,0.726449
-11.0,31,0.729612
-10.0,31,0.732774
-9.0,31,0.735838
-8.0,31,0.73892
-11.0,31,0.741971
-9.0,31,0.745043
-12.0,31,0.748132
-10.0,31,0.75119
-9.0,31,0.754238
-8.0,31,0.757313
-12.0,31,0.760357
-9.0,31,0.763407
-11.0,31,0.766455
-11.0,31,0.769545
-9.0,31,0.772658
-11.0,31,0.775699
-8.0,31,0.778752
-11.0,31,0.78183
-11.0,31,0.784906
-10.0,31,0.787969
-9.0,31,0.791024
-9.0,31,0.794086
-11.0,31,0.797137
-8.0,31,0.800176
-9.0,31,0.803211
-14.0,31,0.806269
-13.0,31,0.809303
-8.0,31,0.812332
-8.0,31,0.815365
-11.0,31,0.818421
-14.0,31,0.82147
-8.0,31,0.824508
-11.0,31,0.827545
-9.0,31,0.830603
-11.0,31,0.833639
-11.0,31,0.836679
-8.0,31,0.839715
-9.0,31,0.842753
-14.0,31,0.845793
-10.0,31,0.848827
-8.0,31,0.851837
-11.0,31,0.854887
-15.0,31,0.857924
-10.0,31,0.860945
-13.0,31,0.86399
-9.0,31,0.867027
-8.0,31,0.870056
-11.0,31,0.87312
-11.0,31,0.876147
-12.0,31,0.87919
-8.0,31,0.882223
-11.0,31,0.88526
-10.0,31,0.8883
-12.0,31,0.891344
-10.0,31,0.894384
-9.0,31,0.897419
-11.0,31,1.019173
-10.0,31,1.022323
-11.0,31,1.02545
-14.0,31,1.028573
-10.0,31,1.031622
-11.0,31,1.034695
-8.0,31,1.037744
-10.0,31,1.040785
-14.0,31,1.043836
-10.0,31,1.046884
-8.0,31,1.049934
-11.0,31,1.05297
-10.0,31,1.056011
-12.0,31,1.059034
-11.0,31,1.062082
-12.0,31,1.06511
-13.0,31,1.068132
-11.0,31,1.071163
-14.0,31,1.074209
-9.0,31,1.077291
-10.0,31,1.080329
-11.0,31,1.083359
